Iteration,CPU Load,CPU Time,Free Physical Memory,Total Physical Memory,Process CPU Time,System Load Average
1-VisitorPattern,0.037198079555403794,0,1956016128,16728899584,0,-1.0
1-NoVisitorPattern,0.037198079555403794,0,1775570944,16728899584,0,-1.0
2-VisitorPattern,0.037198079555403794,0,1806053376,16728899584,0,-1.0
2-NoVisitorPattern,0.037198079555403794,0,1846390784,16728899584,0,-1.0
3-VisitorPattern,0.037198079555403794,0,1862311936,16728899584,0,-1.0
3-NoVisitorPattern,0.014100590262891314,0,1863090176,16728899584,0,-1.0
4-VisitorPattern,0.014100590262891314,0,1852583936,16728899584,0,-1.0
4-NoVisitorPattern,0.014100590262891314,0,1853300736,16728899584,0,-1.0
5-VisitorPattern,0.014100590262891314,0,1852588032,16728899584,0,-1.0
5-NoVisitorPattern,0.014100590262891314,0,1852432384,16728899584,0,-1.0
6-VisitorPattern,0.014100590262891314,0,1842335744,16728899584,0,-1.0
6-NoVisitorPattern,0.017751308851520514,0,1838919680,16728899584,0,-1.0
7-VisitorPattern,0.017751308851520514,0,1839329280,16728899584,0,-1.0
7-NoVisitorPattern,0.017751308851520514,0,1840881664,16728899584,0,-1.0
8-VisitorPattern,0.017751308851520514,0,1838473216,16728899584,0,-1.0
8-NoVisitorPattern,0.017751308851520514,0,1830158336,16728899584,0,-1.0
9-VisitorPattern,0.017751308851520514,0,1823244288,16728899584,0,-1.0
9-NoVisitorPattern,0.01986097733513387,0,1812348928,16728899584,0,-1.0
10-VisitorPattern,0.01986097733513387,0,1808191488,16728899584,0,-1.0
10-NoVisitorPattern,0.01986097733513387,0,1808121856,16728899584,0,-1.0
11-VisitorPattern,0.01986097733513387,0,1806155776,16728899584,0,-1.0
11-NoVisitorPattern,0.01986097733513387,0,1806782464,16728899584,0,-1.0
12-VisitorPattern,0.01986097733513387,0,1794994176,16728899584,0,-1.0
12-NoVisitorPattern,0.01986097733513387,0,1795133440,16728899584,0,-1.0
13-VisitorPattern,0.019370001997124686,0,1795932160,16728899584,0,-1.0
13-NoVisitorPattern,0.019370001997124686,0,1790291968,16728899584,0,-1.0
14-VisitorPattern,0.019370001997124686,0,1790111744,16728899584,0,-1.0
14-NoVisitorPattern,0.019370001997124686,0,1790058496,16728899584,0,-1.0
15-VisitorPattern,0.019370001997124686,0,1790058496,16728899584,0,-1.0
15-NoVisitorPattern,0.019370001997124686,0,1790001152,16728899584,0,-1.0
16-VisitorPattern,0.019370001997124686,0,1789939712,16728899584,0,-1.0
16-NoVisitorPattern,0.019370001997124686,0,1789931520,16728899584,0,-1.0
17-VisitorPattern,0.01748890869554137,0,1789837312,16728899584,0,-1.0
17-NoVisitorPattern,0.01748890869554137,0,1791488000,16728899584,0,-1.0
18-VisitorPattern,0.01748890869554137,0,1791381504,16728899584,0,-1.0
18-NoVisitorPattern,0.01748890869554137,0,1791307776,16728899584,0,-1.0
19-VisitorPattern,0.01748890869554137,0,1791315968,16728899584,0,-1.0
19-NoVisitorPattern,0.01748890869554137,0,1782771712,16728899584,0,-1.0
20-VisitorPattern,0.01748890869554137,0,1782767616,16728899584,0,-1.0
20-NoVisitorPattern,0.01748890869554137,0,1782915072,16728899584,0,-1.0
21-VisitorPattern,0.01748890869554137,0,1783181312,16728899584,0,-1.0
21-NoVisitorPattern,0.02032402553809305,0,1783259136,16728899584,0,-1.0
22-VisitorPattern,0.02032402553809305,0,1783390208,16728899584,0,-1.0
22-NoVisitorPattern,0.02032402553809305,0,1783386112,16728899584,0,-1.0
23-VisitorPattern,0.02032402553809305,0,1783382016,16728899584,0,-1.0
23-NoVisitorPattern,0.02032402553809305,0,1783382016,16728899584,0,-1.0
24-VisitorPattern,0.02032402553809305,0,1784107008,16728899584,0,-1.0
24-NoVisitorPattern,0.02032402553809305,0,1784180736,16728899584,0,-1.0
25-VisitorPattern,0.02032402553809305,0,1784176640,16728899584,0,-1.0
25-NoVisitorPattern,0.02032402553809305,0,1784713216,16728899584,0,-1.0
26-VisitorPattern,0.02032402553809305,0,1784668160,16728899584,0,-1.0
26-NoVisitorPattern,0.01735286508894688,0,1784426496,16728899584,0,-1.0
27-VisitorPattern,0.01735286508894688,0,1784299520,16728899584,0,-1.0
27-NoVisitorPattern,0.01735286508894688,0,1784299520,16728899584,0,-1.0
28-VisitorPattern,0.01735286508894688,0,1784299520,16728899584,0,-1.0
28-NoVisitorPattern,0.01735286508894688,0,1784315904,16728899584,0,-1.0
29-VisitorPattern,0.01735286508894688,0,1775693824,16728899584,0,-1.0
29-NoVisitorPattern,0.01735286508894688,0,1775726592,16728899584,0,-1.0
30-VisitorPattern,0.01735286508894688,0,1775710208,16728899584,0,-1.0
30-NoVisitorPattern,0.01735286508894688,0,1775734784,16728899584,0,-1.0
31-VisitorPattern,0.01735286508894688,0,1775824896,16728899584,0,-1.0
31-NoVisitorPattern,0.018781518285402872,0,1775996928,16728899584,0,-1.0
32-VisitorPattern,0.018781518285402872,0,1775472640,16728899584,0,-1.0
32-NoVisitorPattern,0.018781518285402872,0,1775734784,16728899584,0,-1.0
33-VisitorPattern,0.018781518285402872,0,1775734784,16728899584,0,-1.0
33-NoVisitorPattern,0.018781518285402872,0,1775837184,16728899584,0,-1.0
34-VisitorPattern,0.018781518285402872,0,1775857664,16728899584,0,-1.0
34-NoVisitorPattern,0.018781518285402872,0,1775869952,16728899584,0,-1.0
35-VisitorPattern,0.018781518285402872,0,1775677440,16728899584,0,-1.0
35-NoVisitorPattern,0.018781518285402872,0,1775681536,16728899584,0,-1.0
36-VisitorPattern,0.018781518285402872,0,1775841280,16728899584,0,-1.0
36-NoVisitorPattern,0.018781518285402872,0,1776488448,16728899584,0,-1.0
37-VisitorPattern,0.012262907528791257,0,1776398336,16728899584,0,-1.0
37-NoVisitorPattern,0.012262907528791257,0,1776459776,16728899584,0,-1.0
38-VisitorPattern,0.012262907528791257,0,1776472064,16728899584,0,-1.0
38-NoVisitorPattern,0.012262907528791257,0,1776533504,16728899584,0,-1.0
39-VisitorPattern,0.012262907528791257,0,1879179264,16728899584,0,-1.0
39-NoVisitorPattern,0.012262907528791257,0,1879269376,16728899584,0,-1.0
40-VisitorPattern,0.012262907528791257,0,1879310336,16728899584,0,-1.0
40-NoVisitorPattern,0.012262907528791257,0,1879384064,16728899584,0,-1.0
41-VisitorPattern,0.012262907528791257,0,1879461888,16728899584,0,-1.0
41-NoVisitorPattern,0.012262907528791257,0,1879937024,16728899584,0,-1.0
42-VisitorPattern,0.012262907528791257,0,1879932928,16728899584,0,-1.0
42-NoVisitorPattern,0.010635508201167999,0,1879977984,16728899584,0,-1.0
43-VisitorPattern,0.010635508201167999,0,1880178688,16728899584,0,-1.0
43-NoVisitorPattern,0.010635508201167999,0,1880207360,16728899584,0,-1.0
44-VisitorPattern,0.010635508201167999,0,1880076288,16728899584,0,-1.0
44-NoVisitorPattern,0.010635508201167999,0,1880100864,16728899584,0,-1.0
45-VisitorPattern,0.010635508201167999,0,1880129536,16728899584,0,-1.0
45-NoVisitorPattern,0.010635508201167999,0,1880305664,16728899584,0,-1.0
46-VisitorPattern,0.010635508201167999,0,1880354816,16728899584,0,-1.0
46-NoVisitorPattern,0.010635508201167999,0,1880391680,16728899584,0,-1.0
47-VisitorPattern,0.010635508201167999,0,1880170496,16728899584,0,-1.0
47-NoVisitorPattern,0.010635508201167999,0,1880215552,16728899584,0,-1.0
48-VisitorPattern,0.010635508201167999,0,1880956928,16728899584,0,-1.0
48-NoVisitorPattern,0.019857002807252794,0,1880997888,16728899584,0,-1.0
49-VisitorPattern,0.019857002807252794,0,1881038848,16728899584,0,-1.0
49-NoVisitorPattern,0.019857002807252794,0,1881038848,16728899584,0,-1.0
50-VisitorPattern,0.019857002807252794,0,1879433216,16728899584,0,-1.0
50-NoVisitorPattern,0.019857002807252794,0,1879638016,16728899584,0,-1.0
51-VisitorPattern,0.019857002807252794,0,1879638016,16728899584,0,-1.0
51-NoVisitorPattern,0.019857002807252794,0,1879670784,16728899584,0,-1.0
52-VisitorPattern,0.019857002807252794,0,1879670784,16728899584,0,-1.0
52-NoVisitorPattern,0.019857002807252794,0,1882976256,16728899584,0,-1.0
53-VisitorPattern,0.019857002807252794,0,1882976256,16728899584,0,-1.0
53-NoVisitorPattern,0.019857002807252794,0,1882902528,16728899584,0,-1.0
54-VisitorPattern,0.019857002807252794,0,1882902528,16728899584,0,-1.0
54-NoVisitorPattern,0.013870133755669511,0,1882902528,16728899584,0,-1.0
55-VisitorPattern,0.013870133755669511,0,1883373568,16728899584,0,-1.0
55-NoVisitorPattern,0.013870133755669511,0,1883373568,16728899584,0,-1.0
56-VisitorPattern,0.013870133755669511,0,1883373568,16728899584,0,-1.0
56-NoVisitorPattern,0.013870133755669511,0,1883373568,16728899584,0,-1.0
57-VisitorPattern,0.013870133755669511,0,1883373568,16728899584,0,-1.0
57-NoVisitorPattern,0.013870133755669511,0,1883394048,16728899584,0,-1.0
58-VisitorPattern,0.013870133755669511,0,1883578368,16728899584,0,-1.0
58-NoVisitorPattern,0.013870133755669511,0,1883578368,16728899584,0,-1.0
59-VisitorPattern,0.013870133755669511,0,1883578368,16728899584,0,-1.0
59-NoVisitorPattern,0.013870133755669511,0,1883578368,16728899584,0,-1.0
60-VisitorPattern,0.013870133755669511,0,1883811840,16728899584,0,-1.0
60-NoVisitorPattern,0.007009223878441639,0,1884012544,16728899584,0,-1.0
61-VisitorPattern,0.007009223878441639,0,1885224960,16728899584,0,-1.0
61-NoVisitorPattern,0.007009223878441639,0,1881247744,16728899584,0,-1.0
62-VisitorPattern,0.007009223878441639,0,1872723968,16728899584,0,-1.0
62-NoVisitorPattern,0.007009223878441639,0,1871769600,16728899584,0,-1.0
63-VisitorPattern,0.007009223878441639,0,1872134144,16728899584,0,-1.0
63-NoVisitorPattern,0.007009223878441639,0,1872203776,16728899584,0,-1.0
64-VisitorPattern,0.007009223878441639,0,1872285696,16728899584,0,-1.0
64-NoVisitorPattern,0.007009223878441639,0,1872371712,16728899584,0,-1.0
65-VisitorPattern,0.007009223878441639,0,1873354752,16728899584,0,-1.0
65-NoVisitorPattern,0.007009223878441639,0,1873371136,16728899584,0,-1.0
66-VisitorPattern,0.004235210365315738,0,1873379328,16728899584,0,-1.0
66-NoVisitorPattern,0.004235210365315738,0,1873432576,16728899584,0,-1.0
67-VisitorPattern,0.004235210365315738,0,1873453056,16728899584,0,-1.0
67-NoVisitorPattern,0.004235210365315738,0,1873510400,16728899584,0,-1.0
68-VisitorPattern,0.004235210365315738,0,1873543168,16728899584,0,-1.0
68-NoVisitorPattern,0.004235210365315738,0,1873543168,16728899584,0,-1.0
69-VisitorPattern,0.004235210365315738,0,1874604032,16728899584,0,-1.0
69-NoVisitorPattern,0.004235210365315738,0,1874608128,16728899584,0,-1.0
70-VisitorPattern,0.004235210365315738,0,1874669568,16728899584,0,-1.0
70-NoVisitorPattern,0.004235210365315738,0,1874726912,16728899584,0,-1.0
71-VisitorPattern,0.004235210365315738,0,1865773056,16728899584,0,-1.0
71-NoVisitorPattern,0.004235210365315738,0,1865797632,16728899584,0,-1.0
72-VisitorPattern,0.006554774684140405,0,1865912320,16728899584,0,-1.0
72-NoVisitorPattern,0.006554774684140405,0,1866092544,16728899584,0,-1.0
73-VisitorPattern,0.006554774684140405,0,1866117120,16728899584,0,-1.0
73-NoVisitorPattern,0.006554774684140405,0,1866158080,16728899584,0,-1.0
74-VisitorPattern,0.006554774684140405,0,1867198464,16728899584,0,-1.0
74-NoVisitorPattern,0.006554774684140405,0,1867198464,16728899584,0,-1.0
75-VisitorPattern,0.006554774684140405,0,1867444224,16728899584,0,-1.0
75-NoVisitorPattern,0.006554774684140405,0,1867390976,16728899584,0,-1.0
76-VisitorPattern,0.006554774684140405,0,1874833408,16728899584,0,-1.0
76-NoVisitorPattern,0.006554774684140405,0,1873551360,16728899584,0,-1.0
77-VisitorPattern,0.006554774684140405,0,1873502208,16728899584,0,-1.0
77-NoVisitorPattern,0.005463939233722125,0,1873412096,16728899584,0,-1.0
78-VisitorPattern,0.005463939233722125,0,1873362944,16728899584,0,-1.0
78-NoVisitorPattern,0.005463939233722125,0,1873395712,16728899584,0,-1.0
79-VisitorPattern,0.005463939233722125,0,1872957440,16728899584,0,-1.0
79-NoVisitorPattern,0.005463939233722125,0,1873047552,16728899584,0,-1.0
80-VisitorPattern,0.005463939233722125,0,1873297408,16728899584,0,-1.0
80-NoVisitorPattern,0.005463939233722125,0,1872666624,16728899584,0,-1.0
81-VisitorPattern,0.005463939233722125,0,1872617472,16728899584,0,-1.0
81-NoVisitorPattern,0.005463939233722125,0,1872744448,16728899584,0,-1.0
82-VisitorPattern,0.005463939233722125,0,1872764928,16728899584,0,-1.0
82-NoVisitorPattern,0.005463939233722125,0,1872711680,16728899584,0,-1.0
83-VisitorPattern,0.002604242797364443,0,1869082624,16728899584,0,-1.0
83-NoVisitorPattern,0.002604242797364443,0,1869115392,16728899584,0,-1.0
84-VisitorPattern,0.002604242797364443,0,1869111296,16728899584,0,-1.0
84-NoVisitorPattern,0.002604242797364443,0,1869205504,16728899584,0,-1.0
85-VisitorPattern,0.002604242797364443,0,1869205504,16728899584,0,-1.0
85-NoVisitorPattern,0.002604242797364443,0,1869148160,16728899584,0,-1.0
86-VisitorPattern,0.002604242797364443,0,1869111296,16728899584,0,-1.0
86-NoVisitorPattern,0.002604242797364443,0,1867608064,16728899584,0,-1.0
87-VisitorPattern,0.002604242797364443,0,1867665408,16728899584,0,-1.0
87-NoVisitorPattern,0.002604242797364443,0,1867698176,16728899584,0,-1.0
88-VisitorPattern,0.002604242797364443,0,1867628544,16728899584,0,-1.0
88-NoVisitorPattern,0.01123119363580549,0,1867649024,16728899584,0,-1.0
89-VisitorPattern,0.01123119363580549,0,1867595776,16728899584,0,-1.0
89-NoVisitorPattern,0.01123119363580549,0,1866764288,16728899584,0,-1.0
90-VisitorPattern,0.01123119363580549,0,1867476992,16728899584,0,-1.0
90-NoVisitorPattern,0.01123119363580549,0,1867546624,16728899584,0,-1.0
91-VisitorPattern,0.01123119363580549,0,1867567104,16728899584,0,-1.0
91-NoVisitorPattern,0.01123119363580549,0,1867526144,16728899584,0,-1.0
92-VisitorPattern,0.01123119363580549,0,1867567104,16728899584,0,-1.0
92-NoVisitorPattern,0.01123119363580549,0,1867886592,16728899584,0,-1.0
93-VisitorPattern,0.01123119363580549,0,1867788288,16728899584,0,-1.0
93-NoVisitorPattern,0.01123119363580549,0,1865973760,16728899584,0,-1.0
94-VisitorPattern,0.006628427645840086,0,1866002432,16728899584,0,-1.0
94-NoVisitorPattern,0.006628427645840086,0,1866022912,16728899584,0,-1.0
95-VisitorPattern,0.006628427645840086,0,1866588160,16728899584,0,-1.0
95-NoVisitorPattern,0.006628427645840086,0,1866358784,16728899584,0,-1.0
96-VisitorPattern,0.006628427645840086,0,1866358784,16728899584,0,-1.0
96-NoVisitorPattern,0.006628427645840086,0,1866371072,16728899584,0,-1.0
97-VisitorPattern,0.006628427645840086,0,1866420224,16728899584,0,-1.0
97-NoVisitorPattern,0.006628427645840086,0,1866452992,16728899584,0,-1.0
98-VisitorPattern,0.006628427645840086,0,1866592256,16728899584,0,-1.0
98-NoVisitorPattern,0.006628427645840086,0,1866608640,16728899584,0,-1.0
99-VisitorPattern,0.006628427645840086,0,1866670080,16728899584,0,-1.0
99-NoVisitorPattern,0.006837561985070318,0,1866743808,16728899584,0,-1.0
100-VisitorPattern,0.006837561985070318,0,1866752000,16728899584,0,-1.0
100-NoVisitorPattern,0.006837561985070318,0,1866878976,16728899584,0,-1.0
